19 | Q3 Q4
19 Q4 D3 Q16 D17 D5 D7 F5 F3 C3 C2 C4 E2 | C9 D10
19 Q4 D3 Q16 D17 D5 D8 | F4 G4
19 Q4 D3 Q16 D17 Q10 | C5 O3
19 Q4 D3 Q17 | C16 D16 D17 Q15
19 Q4 D3 Q17 C16 | E16 E17
19 Q4 D3 Q17 C16 E16 | Q15
19 Q4 D3 Q17 C16 E17 | Q15 R15
19 Q4 D3 Q17 D16 | D5 Q11 R11
19 Q4 D3 Q17 D16 D5 | C5 Q15
19 Q4 D3 Q17 D16 Q11 | K17
19 Q4 D3 Q17 D16 R11 | O3
19 Q4 D3 Q17 D17 | D5 Q11 R11
19 Q4 D3 Q17 D17 D5 | C5
19 Q4 D3 Q17 Q15 | D16
19 Q4 D3 R16 | D16 D17
19 Q4 D3 R16 D17 | P17
19 Q4 D3 R16 D17 P17 | R10
19 Q4 D3 R16 D17 P17 R10 | C5
19 Q4 D4 | C16 Q16 Q17 R16
19 Q4 D4 C16 | Q17
19 Q4 D4 Q16 | C17 D16 D17
19 Q4 D4 Q16 C17 | F3 Q10
19 Q4 D4 Q16 C17 Q10 | O17
19 Q4 D4 Q16 C17 Q10 O17 | M17 Q14
19 Q4 D4 Q16 D16 | F3 Q10
19 Q4 D4 Q16 D16 F3 | C6 D6 H3 J4
19 Q4 D4 Q16 D16 F3 C6 | D2 K4
19 Q4 D4 Q16 D16 F3 C6 D2 | C3 O3
19 Q4 D4 Q16 D16 F3 D6 | D2
19 Q4 D4 Q16 D16 F3 H3 | C3
19 Q4 D4 Q16 D16 F3 H3 C3 | D3
19 Q4 D4 Q16 D16 F3 H3 C3 D3 | C4
19 Q4 D4 Q16 D16 F3 H3 C3 D3 C4 | D5
19 Q4 D4 Q16 D16 F3 H3 C3 D3 C4 D5 | D2
19 Q4 D4 Q16 D16 F3 H3 C3 D3 C4 D5 D2 | E2
19 Q4 D4 Q16 D16 F3 H3 C3 D3 C4 D5 D2 E2 | C2
19 Q4 D4 Q16 D16 F3 H3 C3 D3 C4 D5 D2 E2 C2 | E3
19 Q4 D4 Q16 D16 F3 H3 C3 D3 C4 D5 D2 E2 C2 E3 | C6
19 Q4 D4 Q16 D16 F3 J4 | C6 F5
19 Q4 D4 Q16 D16 Q10 | D10 K4 O3
19 Q4 D4 Q16 D16 Q10 D10 | F3 K4
19 Q4 D4 Q16 D16 Q10 D10 K4 | K16
19 Q4 D4 Q16 D16 Q10 D10 K4 K16 | K10
19 Q4 D4 Q16 D16 Q10 O3 | K16 M3 Q6
19 Q4 D4 Q16 D16 Q10 O3 K16 | R6
19 Q4 D4 Q16 D16 Q10 O3 M3 | R3
19 Q4 D4 Q16 D16 Q10 O3 M3 R3 | R4
19 Q4 D4 Q16 D16 Q10 O3 M3 R3 R4 | Q3
19 Q4 D4 Q16 D16 Q10 O3 M3 R3 R4 Q3 | P4
19 Q4 D4 Q16 D16 Q10 O3 M3 R3 R4 Q3 P4 | O2
19 Q4 D4 Q16 D16 Q10 O3 Q6 | K4 L4 Q2
19 Q4 D4 Q16 D16 Q10 O3 Q6 K4 | K16
19 Q4 D4 Q16 D16 Q10 O3 Q6 K4 K16 | D10 H17
19 Q4 D4 Q16 D16 Q10 O3 Q6 L4 | K16
19 Q4 D4 Q16 D16 Q10 O3 Q6 L4 K16 | H17
19 Q4 D4 Q16 D16 Q10 O3 Q6 Q2 | K16
19 Q4 D4 Q16 D16 Q10 O3 Q6 Q2 K16 | O5 R3
19 Q4 D4 Q17 | C16 D16
19 Q4 D4 R16 | D16 D17
19 Q4 D4 R16 D16 | F17 P17
19 Q4 D4 R16 D16 F17 | J16
19 Q4 D4 R16 D16 P17 | R10
19 Q4 D4 R16 D16 P17 R10 | C10
19 Q4 D4 R16 D16 P17 R10 C10 | C8 R13
19 Q4 D4 R16 D17 | D15 P17
19 Q4 D4 R16 D17 D15 | C15
19 Q4 D4 R16 D17 P17 | R10
19 Q4 D4 R16 D17 P17 R10 | C6 R12
19 R3 | C4 D3 D4 D16
19 R3 C4 | R16
19 R3 C4 C17 | R16
19 R3 C4 R16 | D17
19 R3 D16 | D3 C3
19 R3 D16 C3 | R16
19 R3 D16 D3 | R16
19 R3 D3 | R16 D17
19 R3 D3 D17 | R16
19 R3 D3 R16 | D17
9 | E5
9 C3 C7 G7 G3 F2 | F3
9 C3 D4 C4 D5 | E2
9 C3 D7 G4 C4 D4 | C5
9 C3 F7 G3 C6 G5 H6 | D7
9 C3 G7 C7 F3 F7 | F6
9 C3 G7 G3 C6 | E7
9 C4 E4 G7 E6 | G4
9 C4 E5 D6 G4 | E6
9 C4 E5 D6 G4 E6 F6 | F7
9 C4 E5 D6 G4 E6 F6 F7 G6 | E4
9 C4 E5 D6 G4 E6 F6 F7 G6 E4 F4 | E3
9 C4 F3 D7 C2 | G6
9 C4 F3 F5 D2 | F7
9 C4 G3 D7 E3 G6 E5 | E6
9 C4 G3 D7 F7 E3 F5 E8 | D5
9 C4 G4 D7 E3 | G6
9 C4 G6 D7 G3 E3 F2 | F7
9 C4 G6 E7 | E5
9 C4 G6 E7 E5 E3 | C5
9 C4 G7 C7 | F4
9 C4 G7 D7 E3 | F6
9 C4 G7 D7 F3 D3 F5 E2 | D5
9 C5 F4 | F6
9 C5 F4 F6 D3 | G4
9 C5 F5 E5 | E6
9 C5 F5 F4 | E5
9 C5 F5 F4 G4 E5 | E6
9 C5 F5 F4 G4 E5 E6 E4 | F6
9 C6 C4 E6 F3 | G7
9 C6 F6 C3 F3 G7 | E7
9 C6 F7 D3 G4 F3 F4 | G3
9 C6 G3 F6 | D3
9 C6 G4 F7 C3 G6 | E4
9 C6 G7 G3 C3 G5 | E7
9 C7 C3 G6 F3 | E6
9 C7 D3 | G6
9 C7 F4 F7 C4 | G3
9 C7 F4 F7 C4 G5 | G4
9 C7 G3 F7 C4 F4 | F3
9 C7 G3 F7 C4 F5 | E4
9 C7 G3 G6 D3 | E6
9 C7 G3 G7 D4 | B4
9 D3 C7 F7 G3 C6 G6 D7 D6 E6 | D5
9 D3 C7 G6 E4 D4 | E5
9 D3 C7 G6 E4 D4 E5 | D5 E6
9 D3 E5 G3 E3 | E4
9 D3 F6 E7 | E6
9 D3 F6 E7 E6 F7 | D6
9 D3 G7 C7 F3 F6 F7 | E6
9 D3 G7 G4 C7 C5 | E6
9 D3 G7 G4 C7 C5 G3 F4 | H4
9 D4 C4 C3 D5 | E4
9 D4 C4 C3 G6 C5 E7 | G4
9 D4 D3 | C3 E3
9 D4 D7 G3 | G6
9 D4 D7 G4 | C4
9 D4 F6 D7 F3 F8 D2 C3 | G7
9 D4 F7 E6 E7 | F6 D7
9 D4 G7 D7 C3 | D3
9 D4 G7 D7 C3 D3 C4 | C5
9 D4 G7 D7 C3 D3 C4 C5 B5 | B6
9 D4 G7 D7 C3 D3 C4 C5 B5 B6 D2 | E2
9 D4 G7 D7 C3 D3 C4 C5 B5 B6 D2 E2 E3 | E4
9 D4 G7 D7 C3 D3 C4 C5 B5 B6 D2 E2 E3 E4 C2 | F3
9 D4 G7 D7 C3 D3 C4 C5 B5 B6 D2 E2 E3 E4 C2 F3 C6 | D5
9 D4 G7 D7 C3 D3 C4 C5 B5 B6 D2 E2 E3 E4 C2 F3 C6 D5 B7 | D6
9 D4 G7 D7 C3 D3 C4 C5 B5 B6 D2 E2 E3 E4 C2 F3 C6 D5 B7 D6 C7 | F8
9 D4 G7 D7 C3 D3 C4 C5 B5 B6 D2 E2 E3 E4 C2 F3 C6 D5 B7 D6 C7 F8 G8 | H6
9 D4 G7 D7 F4 G3 | F3
9 D4 G7 D7 F4 H5 | F6
9 D5 E6 | E5
9 D5 E6 G3 | E5
9 D5 F5 E5 C3 | F4
9 D5 F5 G3 | F3
9 D5 F7 D8 | F4
9 D5 G3 | G5
9 D5 G4 G6 | E3
9 D5 G4 G6 E3 | D3
9 D5 G5 | F4
9 D5 G5 F4 G4 | G3
9 D5 G7 E7 G4 | E3
9 D5 G7 F6 G6 | G5
9 D6 F3 E4 F4 | F5 E3
9 D6 F3 F4 E4 | E5
9 D6 F3 F4 E4 E5 D4 | G3
9 D6 F4 E5 | F5
9 D6 F4 F6 D4 C4 | C3
9 D6 F4 F6 D4 C4 C3 | C5
9 D6 G5 | F4
9 D6 G5 F4 G4 | F3
9 D7 E4 C4 F6 | G3
9 D7 E4 C4 F6 G3 G5 | E3
9 D7 E4 E5 | D5
9 D7 E4 G3 | G4
9 D7 E4 G3 G4 H4 | G5
9 D7 F3 G6 C4 D3 | E5
9 D7 F3 G6 C4 D3 E5 C3 | E7
9 D7 G3 G6 C3 F4 | F3
9 E3 E6 | C4
9 E3 E6 C4 | G6
9 E3 E6 C4 G6 | F5
9 E3 E7 | E6
9 E4 E6 D6 D7 C6 | E5
9 E4 E6 F6 F7 | F5
9 E4 E6 F6 F7 F5 | G7
9 E5 | D3
9 E5 C3 | F3
9 E5 C3 C4 B4 F6 D3 F3 | F7
9 E5 C3 C4 D3 F3 | B4
9 E5 C3 D3 | D2
9 E5 C3 D3 D2 | C4
9 E5 C3 D3 D2 C4 | B4
9 E5 C3 D3 D2 C4 B4 | D4
9 E5 C3 D3 D2 C4 B4 C5 | E3
9 E5 C3 D3 D2 C4 B4 D4 | B2
9 E5 C3 D3 D2 C4 B4 D4 B2 | E2
9 E5 C3 D3 D2 C4 B4 D4 B2 E2 | C6
9 E5 C3 D3 D2 C4 B4 D4 B2 E2 C6 | D1
9 E5 C3 D3 D2 C4 B4 D4 B2 E2 C6 D1 | C2
9 E5 C3 D3 D2 C4 B4 D4 B2 E2 C6 D1 C2 | C7
9 E5 C3 D3 D2 C4 B4 D4 B2 E2 C6 D1 C2 C7 | B6
9 E5 C3 D3 D2 C4 B4 D4 B2 E2 C6 D1 C2 C7 B6 | D6
9 E5 C3 D3 D2 C4 B4 D4 B2 E2 C6 D1 C2 C7 B6 D6 | G5
9 E5 C3 D3 D2 E3 | E2
9 E5 C3 D3 D2 E3 E2 F7 | F3
9 E5 C3 E2 | E3 G7 G6
9 E5 C3 E3 | G6
9 E5 C3 E3 C5 | E7
9 E5 C3 E3 C5 E7 G7 | G5
9 E5 C3 E3 C5 E7 G7 G5 F8 | H6
9 E5 C3 E3 G6 | E7 F7 G4
9 E5 C3 E3 G6 C5 | E7
9 E5 C3 E3 G6 C5 E7 B4 | G3
9 E5 C3 E3 G6 C5 E7 B4 G3 C7 | E2
9 E5 C3 E3 G6 E7 | C6
9 E5 C3 E3 G6 F7 | C6
9 E5 C3 E3 G6 G4 C6 | E7
9 E5 C3 E3 G6 G4 E7 | C5
9 E5 C3 F7 | C6
9 E5 C3 F7 C6 | F3
9 E5 C3 F7 C6 F3 | G5
9 E5 C3 F7 C6 F3 G5 | H4
9 E5 C3 F7 C6 F3 G5 H4 | G7
9 E5 C3 F7 C6 F3 G5 H4 G7 | F8
9 E5 C3 F7 G4 C4 D4 C6 D3 | B4
9 E5 C4 G7 C7 | E3
9 E5 C4 G7 D6 | D3
9 E5 C4 G7 E3 F3 E2 | G3
9 E5 C4 G7 G4 | E3
9 E5 C5 G4 D7 E7 D8 | E8
9 E5 C7 E7 B4 | C5
9 E5 D3 | F3
9 E5 D3 C4 F4 C3 | E7
9 E5 D3 B5 | F7
9 E5 D3 C4 | F4
9 E5 D3 C4 F4 F5 | G4
9 E5 D3 C4 F4 F5 G4 G5 | C7
9 E5 D3 C5 | G6
9 E5 D3 C5 E7 F3 | G7
9 E5 D3 C5 F7 E3 | E2
9 E5 D3 C5 F7 E3 E2 F3 | D4
9 E5 D3 C5 F7 E3 E2 F3 D4 D5 | B4
9 E5 D3 C5 F7 E3 E2 F3 D4 D5 B4 B5 | F2
9 E5 D3 C5 F7 E3 E2 F3 D4 D5 B4 B5 F2 G3 | B3
9 E5 D3 E3 | F7
9 E5 D3 F3 | C5
9 E5 D3 F3 F7 C4 | C7
9 E5 D3 F3 F7 C4 C7 C3 | G5
9 E5 D3 F3 F7 C4 C7 C6 | B6
9 E5 D3 F3 F7 C4 C7 C6 B6 B5 | D6
9 E5 D3 F3 F7 C4 C7 C6 B6 B5 D6 C5 | G5
9 E5 D3 F4 | F7
9 E5 D3 F4 C6 | C5
9 E5 D3 G3 | E7 F7
9 E5 D3 G4 | E7
9 E5 D3 G7 | C5
9 E5 D3 G7 C5 | C6
9 E5 D3 G7 C5 C6 | B5
9 E5 D3 G7 C5 C6 B5 B6 | D6
9 E5 D3 G7 C5 C6 B5 B6 D6 | D5
9 E5 D3 G7 C5 C6 B5 B6 D6 D5 | D7
9 E5 D3 G7 C5 C6 B5 B6 D6 D5 D7 | B8
9 E5 D3 G7 C5 C6 B5 B6 D6 D5 D7 B8 | D4
9 E5 D3 G7 C5 C6 B5 F3 | D6
9 E5 D4 | D5
9 E5 D5 | D4
9 E5 D5 D4 E4 | E6
9 E5 E3 D7 C4 | F3 G4
9 E5 E7 D3 C7 | G3 G5
9 E5 E7 D3 C7 G3 G7 | C5
9 E5 F3 F7 C3 | E3
9 E5 G3 F3 G5 | G2
9 E5 G3 G7 C3 C6 B5 | E3
9 E5 G5 | F3
9 E5 G5 C4 F7 | E7
9 E5 G5 C5 | F3
9 E5 G5 C5 F3 G6 | D4
9 E5 G5 G4 | C4
9 E5 G5 G4 C4 C5 | C6
9 E5 G6 C3 G4 | E7
9 E5 G7 C3 | D4
9 E5 G7 D3 D7 E7 E8 | D6
9 E5 G7 E7 G4 | D3
9 E5 G7 F7 G5 G8 G6 | E8
9 E5 G7 G3 | C3
9 E5 G7 G3 C3 | C5
9 E5 G7 G3 C3 C5 | E3
9 E5 G7 G3 C3 C5 E3 | F3
9 E5 G7 G3 C3 D6 | B6 F4
9 E5 G7 G3 C3 D6 C7 D7 | C6
9 E5 G7 G3 C3 D6 C7 D7 C8 F4 | C6 B5
9 E5 G7 G3 C3 D6 C7 D7 C8 F4 G5 B5 D8 | B3
9 E5 G7 G3 C3 D6 C7 D7 C8 F4 G5 B5 D8 B3 | B2
9 E5 G7 G3 C3 D6 C7 D7 C8 F4 G5 B5 D8 B3 E8 C6 B2 C4 | A3
9 E5 G7 G3 C3 D6 F2 F8 | B6
9 E5 G7 G3 C3 D6 F2 F8 B5 | B6
9 E6 C4 E4 G7 | G5
9 E6 C7 C5 E8 | F3
9 E6 D4 F4 E3 | F3
9 E6 E4 E5 | D4
9 E6 E4 E5 D4 | F4
9 E6 E4 E5 D4 F4 | F3
9 E6 E4 E5 D4 F4 F3 | G3
9 E6 E4 E5 D4 F4 F3 G3 | G4
9 E6 E4 E5 D4 F4 F3 G3 G4 | F5
9 E6 E4 E5 D4 F4 F3 G3 G4 F5 | H3
9 E6 E4 G5 | C5
9 E6 E4 G5 C5 C3 | C4
9 E6 E4 G5 C5 C3 G4 | H4
9 E6 E4 G5 C5 C3 G4 H4 F5 | F6
9 E6 E5 | F5
9 E6 F4 | D4 E4
9 E6 F4 D4 G5 | G7
9 E6 G4 E4 G6 G3 H3 F3 B5 G8 | F7
9 E7 E4 G5 | D6
9 E7 E4 G5 D6 E6 | D5
9 E7 F3 | F4
9 E7 F3 F4 E3 | G3
9 F3 D6 D4 | F6
9 F3 D6 D4 F6 G6 | F4
9 F3 D6 E6 | D7
9 F3 D6 E6 D7 E7 | D5
9 F3 D6 E6 D7 E7 D5 | E5
9 F3 D7 D6 | E6
9 F3 D7 D6 E6 C7 | E7
9 F3 D7 E6 | E7
9 F3 E6 C4 | E4
9 F3 E6 G5 | C6
9 F3 G6 E6 C5 | G7
9 F3 G6 E6 C5 G7 H7 | F7
9 F3 G7 C4 D6 | C7
9 D4 F6 D6 E5 | D5
9 D4 F7 G4 C6 B5 | E5
9 D4 F7 G4 C6 B5 E5 E4 | B4
9 F4 C7 C4 F6 | G6
9 F4 C7 C4 F6 G6 | G5
9 F4 D3 D5 F3 | G3
9 F4 D3 D5 F3 G3 G4 | G5
9 F4 D3 D5 F3 G3 G4 G5 H4 | H3
9 F4 D3 D5 F3 G3 G4 G5 H4 H3 F5 | E4
9 F4 D3 D5 F3 G3 G4 G5 H4 H3 F5 E4 H5 | G6
9 F4 D3 D5 F3 G3 G4 G5 H4 H3 F5 E4 H5 G6 H6 | E3
9 F4 D3 D5 F3 G3 G4 G5 H4 H3 F5 E4 H5 G6 H6 E3 F2 | E2
9 F4 D3 D5 F3 G3 G4 G5 H4 H3 F5 E4 H5 G6 H6 E3 F2 E2 F6 | D7
9 F4 D6 C4 G6 C7 | G3
9 F4 D6 D5 | C5
9 F4 D7 D6 | E7
9 F4 D7 F6 D4 | D3
9 F4 E5 E4 D5 | F5
9 F5 C3 C5 G7 | E7
9 F5 C6 | C4
9 F5 C6 C4 F3 | E7
9 F5 D3 | D5
9 F5 D3 D5 | F7 G7 F6
9 F5 D3 D5 F3 | C3
9 F5 D3 D5 F3 C3 | C2
9 F5 D3 D5 F3 C3 C2 | C4
9 F5 D3 D5 F3 C3 C2 C4 | E8
9 F5 D3 F3 | D5
